Name,Type,Description
Node.js,Platform, Async non-blocking event-driven JavaScript runtime built on Chrome's V8 JavaScript engine. 
iOS,Platform, Mobile operating system for Apple phones and tablets.
Android,Platform, Mobile operating system developed by Google.
IoT & Hybrid Apps,Platform,Electron - Cross-platform native desktop apps using JavaScript/HTML/CSS.
Electron,Platform, Cross-platform native desktop apps using JavaScript/HTML/CSS.
Cordova,Platform, JavaScript API for hybrid apps.
React Native,Platform, JavaScript framework for writing natively rendering mobile apps for iOS and Android.
Xamarin,Platform," Mobile app development IDE, testing, and distribution."
Linux,Platform,watchOS - Operating system for the Apple Watch.
watchOS,Platform, Operating system for the Apple Watch.
JVM,Platform,Salesforce
Salesforce,Platform,Amazon Web Services
Amazon Web Services,Platform,Windows
Windows,Platform,IPFS - P2P hypermedia protocol.
IPFS,Platform, P2P hypermedia protocol.
Fuse,Platform, Mobile development tools.
Heroku,Platform, Cloud platform as a service.
Raspberry Pi,Platform," Credit card-sized computer aimed at teaching kids programming, but capable of a lot more."
Qt,Platform, Cross-platform GUI app framework.
WebExtensions,Platform, Cross-browser extension system.
Smart TV,Platform, Create apps for different TV platforms.
GNOME,Platform, Simple and distraction-free desktop environment for Linux.
KDE,Platform, A free software community dedicated to creating an open and user-friendly computing experience.
.NET,Platform,Amazon Alexa - Virtual home assistant.
Amazon Alexa,Platform, Virtual home assistant.
DigitalOcean,Platform, Cloud computing platform designed for developers.
Flutter,Platform, Google's mobile SDK for building native iOS and Android apps from a single codebase written in Dart.
Home Assistant,Platform, Open source home automation that puts local control and privacy first.
IBM Cloud,Platform, Cloud platform for developers and companies.
Firebase,Platform, App development platform built on Google Cloud Platform.
Robot Operating System 2.0,Platform, Set of software libraries and tools that help you build robot apps.
Adafruit IO,Platform, Visualize and store data from any device.
Cloudflare,Platform," CDN, DNS, DDoS protection, and security for your site."
Actions on Google,Platform, Developer platform for Google Assistant.
ESP,Platform, Low-cost microcontrollers with WiFi and broad IoT applications.
Deno,Platform, A secure runtime for JavaScript and TypeScript that uses V8 and is built in Rust.
DOS,Platform, Operating system for x86-based personal computers that was popular during the 1980s and early 1990s.
Nix,Platform, Package manager for Linux and other Unix systems that makes package management reliable and reproducible.
Integration,Platform, Linking together different IT systems (components) to functionally cooperate as a whole.
Node,Platform,"RED - A programming tool for wiring together hardware devices, APIs, and online services."
Low Code,Platform, Allowing business professionals to address their needs on their own with little to no coding skills.
Capacitor,Platform, Cross-platform open source runtime for building Web Native apps.
ArcGIS Developer,Platform, Mapping and location analysis platform for developers.
JavaScript,Programming Language,"Swift - Apple's compiled programming language that is secure, modern, programmer-friendly, and fast."
Swift,Programming Language," Apple's compiled programming language that is secure, modern, programmer-friendly, and fast."
Python,Programming Language, General-purpose programming language designed for readability.
Rust,Programming Language,Haskell
Haskell,Programming Language,PureScript
PureScript,Programming Language,Go
Go,Programming Language,Scala
Scala,Programming Language,Ruby
Ruby,Programming Language,Clojure
Clojure,Programming Language,ClojureScript
ClojureScript,Programming Language,Elixir
Elixir,Programming Language,Elm
Elm,Programming Language,Erlang
